instancia,escenario,config_tabu,strokes,candidatos,seed,tabu_iters,tabu_tenure,tabu_neigh,mse_greedy,mse_tabu,mejora_pct,tiempo_greedy,tiempo_tabu,tiempo_total,output_file
bach.png,mala_solucion_inicial,moderado,200,50,42,300,15,25,1911.69,909.287,52.43543670783443,20.5186,25.0966,45.6153,bach_s200_c50_tabu_moderado_seed42.png
bach.png,mala_solucion_inicial,intensivo,200,50,42,1000,30,50,1911.69,291.792,84.73643739309198,20.394,158.074,178.467,bach_s200_c50_tabu_intensivo_seed42.png
bach.png,solucion_inicial_moderada,moderado,400,100,42,300,15,25,1042.53,570.355,45.29126260155583,104.545,30.0805,134.625,bach_s400_c100_tabu_moderado_seed42.png
bach.png,solucion_inicial_moderada,intensivo,400,100,42,1000,30,50,1042.53,208.193,80.03002311684077,104.515,193.582,298.097,bach_s400_c100_tabu_intensivo_seed42.png
bach.png,buena_solucion_inicial,moderado,600,150,42,300,15,25,779.985,460.293,40.986942056578016,275.466,33.3983,308.864,bach_s600_c150_tabu_moderado_seed42.png
bach.png,buena_solucion_inicial,intensivo,600,150,42,1000,30,50,779.985,193.357,75.21016429803137,275.568,219.771,495.338,bach_s600_c150_tabu_intensivo_seed42.png
dali.png,mala_solucion_inicial,moderado,200,50,42,300,15,25,1588.46,1061.49,33.17489895873991,16.4976,18.446,34.9436,dali_s200_c50_tabu_moderado_seed42.png
dali.png,mala_solucion_inicial,intensivo,200,50,42,1000,30,50,1588.46,590.49,62.82625939589288,16.5028,112.97,129.473,dali_s200_c50_tabu_intensivo_seed42.png
dali.png,solucion_inicial_moderada,moderado,400,100,42,300,15,25,1115.17,732.681,34.29871678757499,92.0754,24.0958,116.171,dali_s400_c100_tabu_moderado_seed42.png
dali.png,solucion_inicial_moderada,intensivo,400,100,42,1000,30,50,1115.17,427.14,61.69731969116816,92.3167,237.653,329.97,dali_s400_c100_tabu_intensivo_seed42.png
